time,value
0:01,87
0:03,103
0:05,97
0:11,105
0:14,102
0:16,101
0:19,111
0:22,124.00000000000001
0:23,105
0:24,109
0:35,82.78492736816406
0:36,84
0:39,80
0:42,82
0:49,77.00000000000001
0:55,79
0:58,82
1:02,78
1:10,79
1:17,76
1:22,73
1:27,74
1:32,75
1:35,76
1:38,78
1:46,72
1:48,73
1:52,73
1:58,73
2:03,74
2:09,72
2:17,71
2:18,73
2:22,68
2:31,66
2:33,71
2:40,81
2:47,66
2:49,68
2:54,83
3:01,84
3:07,73
3:09,78
3:17,69
3:20,63
3:27,73
3:30,83
3:39,80
3:40,78
3:43,80
3:47,76.01194763183594
3:48,74
3:56,73
4:00,74
4:03,73
4:10,73
4:14,78
4:15,74
4:18,79
4:22,79
4:28,80
4:37,79
4:38,80
4:42,80
4:44,77
4:48,80
4:57,79
5:01,78
5:05,75
5:12,67
5:13,67
5:18,67
5:22,68
5:28,68
5:33,67
5:38,68
5:43,68
5:47,68.7518539428711
5:59,69
6:01,139.00000000000003
6:02,134
6:08,134
6:16,69
6:19,70
6:23,72
6:28,71
6:30,70
6:32,70
6:39,71
6:43,71
6:48,68
6:54,64
6:58,64
7:00,64
7:02,64
7:10,64
7:14,63
7:21,63
7:25,63
7:28,62.00000000000001
7:30,63
7:32,63
7:37,63
7:43,63
7:48,60.809001922607415
7:49,59
7:53,63
7:57,60
8:00,62
8:03,61
8:08,63
8:14,67
8:21,67
8:22,67
8:28,59
8:30,67
8:34,64
8:37,67
8:42,65
8:50,57
8:57,67
9:00,66
9:02,66
9:07,63
9:08,64
9:17,59
9:19,59
9:26,59
9:29,58
9:35,58
9:39,59
9:43,59
9:47,58.583702087402344
9:53,59
10:00,59
10:05,59
10:08,58
10:14,59
10:18,58
10:25,60
10:29,58
10:33,60
10:38,63
10:39,58
10:43,63
10:50,63
10:52,56
10:57,64
11:04,63
11:09,57
11:13,58
11:17,57
11:27,64
11:28,58
11:33,58
11:39,57
11:40,58
11:43,58
11:47,57.7636604309082
11:52,59
11:53,55
12:02,59
12:03,58
12:09,58
12:17,59
12:20,59
12:22,65
12:32,58
12:33,59
12:38,60
12:39,64
12:44,63
12:49,58
12:56,59
13:02,59
13:07,58
13:09,58
13:11,59
13:16,59
13:19,59
13:24,59
13:29,59
13:34,60
13:40,74
13:46,74
15:25,124.00000000000001
15:34,100
15:39,91
15:44,86
15:48,81
15:52,99
16:02,101
16:04,102
16:09,101
16:11,106
16:12,116
16:14,84
16:18,80
16:22,80
16:28,91
16:40,119
16:44,82
16:48,81
16:56,90
17:02,85
17:06,87
17:11,84
17:13,83
17:18,79
17:23,76
17:30,75
17:35,75
17:38,79
17:43,88
17:48,73.78187561035156
17:56,74
18:02,95
18:06,90
18:09,90
18:17,74
18:18,85
18:26,76
18:28,84
18:37,85
18:39,79
18:46,78
18:51,80
18:53,75
19:00,74
19:01,69
19:03,75
19:11,72
19:17,73
19:19,75
19:25,72
19:28,88
19:38,95
19:47,86
19:50,85
19:53,80.0958023071289
19:54,84
19:58,80
20:02,80
20:12,76
20:15,79
20:20,77.00000000000001
20:22,84
20:29,78
20:32,75
20:42,79
20:45,80
20:49,79
20:57,88
21:02,79
21:07,80
21:08,77.00000000000001
21:13,78
21:18,79
21:23,81
21:30,79
21:33,90
21:39,94
21:42,118
21:44,118
21:47,107.00000000000001
21:52,107.00000000000001
21:57,101
21:59,101.52979278564453
22:02,105
22:03,99
22:05,107.00000000000001
22:08,98
22:10,107.00000000000001
22:11,122
22:12,118
22:14,96
22:15,78
22:17,76
22:30,99
22:35,100
22:40,95
22:45,83
22:52,95
22:56,88
23:00,86
23:06,84
23:10,80
23:13,80
23:18,83
23:23,78
23:29,79
23:35,84
23:38,84
23:46,78
23:47,75.08098602294922
23:53,76
