time,value
1:41,16.5
1:55,11
2:02,18.5
2:08,18
2:49,18
3:17,17
3:42,17
3:57,18.5
4:05,18
4:08,18
4:23,17
4:33,19
4:45,19
4:51,18
5:06,19
5:08,17
5:25,15
5:33,15
5:43,15.5
5:52,15.5
6:05,15
6:13,16
6:23,14.5
6:31,14
6:44,14
6:55,16.5
6:59,16
7:17,16.5
7:27,15.5
7:34,16
7:40,15.5
7:52,15
8:03,15.5
8:10,14.5
8:21,15
8:33,14.5
8:46,14.5
8:58,17
9:01,14
9:09,13
9:25,13.5
9:39,15
9:47,15
9:53,13
10:03,14
10:14,14.5
10:27,13.5
10:35,13
10:42,15
10:53,15.5
11:06,13
11:19,13
11:26,13.5
11:39,14.5
11:40,14
