time,emo level,value,,,,
 0:13,Great,77,,,,
0:28,Great,77,,,,
0:43,Normal,71,,,,
0:59,Normal,66,,,,
1:08,Normal,70,,,,
1:28,Normal,72,,,,
1:43,Normal,67,,,,
1:58,Normal,70,,,,
2:14,Normal,66,,,,
2:28,Normal,64,,,,
2:43,Normal,63,,,,
2:57,Normal,65,,,,
3:14,Normal,68,,,,
3:28,Normal,71,,,,
3:42,Normal,73,,,,
3:57,Normal,75,,,,
4:08,Great,76,,,,
4:29,Great,76,,,,
4:43,Normal,71,,,,
4:53,Normal,67,,,,
5:14,Normal,64,,,,
5:29,Normal,63,,,,
5:43,Normal,66,,,,
5:57,Normal,70,,,,
6:13,Normal,72,,,,
6:28,Normal,73,,,,
6:43,Normal,74,,,,
6:53,Normal,74,,,,
7:09,Normal,68,,,,
7:22,Great,77,,,,
7:44,Normal,75,,,,
7:56,Normal,74,,,,
8:11,Attention,25,,,,
8:29,Attention,26,,,,
8:40,Great,93,,,,
8:46,Attention,18,,,,
10:44,Great,97,,,,
10:52,Normal,64,,,,
11:44,Great,90,,,,
11:56,Great,90,,,,
12:13,Attention,36,,,,
12:30,Normal,69,,,,
12:43,Normal,72,,,,
12:56,Normal,75,,,,
13:09,Great,91,,,,
13:28,Great,76,,,,
13:39,Normal,66,,,,
13:53,Normal,64,,,,
14:11,Normal,67,,,,
14:28,Great,82,,,,
14:38,Great,91,,,,
14:58,Normal,65,,,,
15:12,Normal,62,,,,
15:29,Normal,58,,,,
15:42,Normal,63,,,,
15:57,Normal,64,,,,
16:13,Normal,67,,,,
16:23,Attention,24,,,,
16:44,Great,90,,,,
17:40,Attention,17,,,,
17:56,Normal,63,,,,
18:13,Normal,64,,,,
18:29,Attention,43,,,,
18:38,Normal,51,,,,
18:53,Normal,69,,,,
19:13,Great,84,,,,
19:43,Great,90,,,,
19:59,Normal,66,,,,
20:12,Great,88,,,,
20:27,Attention,26,,,,
20:40,Attention,26,,,,
20:57,Attention,36,,,,
21:14,Attention,32,,,,
21:28,Attention,32,,,,
